batch,issue_ids,module_id,file_path,what_changed,source_url,status
4F,ISS-049,1.4,n/a,"DEFERRED — requesting step-by-step agent access instructions requires current screenshots/UI verification",n/a,DEFERRED
4F,ISS-218,1.2,n/a,"DEFERRED — enterprise data responsibility section requires alignment with Module 2.4 content; avoid duplication",n/a,DEFERRED
4F,ISS-424,2.5,n/a,"DEFERRED — exercise success criteria and prompt customization guidance requires module-by-module review",n/a,DEFERRED
4F,ISS-458,1.10,n/a,"DEFERRED — ceremony checklists require substantial content creation aligned with Scrum Guide",n/a,DEFERRED
4F,ISS-477,1.6,n/a,"DEFERRED — specific stakeholder context example requires alignment with team persona files",n/a,DEFERRED
P3-A,ISS-165;ISS-182;ISS-196,multiple,"21 module files","Scrum terminology sweep: 'standup' → 'Daily Scrum' in headings and formal text across 21 files. ~36 edits total. Left ~90 occurrences in code blocks/prompts/scenarios/data labels.",https://scrumguides.org/scrum-guide.html,DONE
P3-A,cascade,1.1,lesson-modules/1-fundamentals/1.1-welcome/MODULE.md,"Fixed 'Process standup notes' → 'Process notes' in Scrum Events table",https://scrumguides.org/scrum-guide.html,DONE
P3-A,cascade,1.7,lesson-modules/1-fundamentals/1.7-m365-navigation/MODULE.md,"Fixed 'Catching up on missed standups' → 'missed Daily Scrums' in Next Steps",https://scrumguides.org/scrum-guide.html,DONE
P3-B,ISS-027;ISS-029,multiple,"4 module files","Added sample file access tips to first exercise in modules 2.2; 4.1; 5.1; 6.1 (extending pattern from P1 ISS-385)",n/a - usability,DONE
P3-C,ISS-352,4.1,lesson-modules/4-data-driven/4.1-sprint-analytics/MODULE.md,"Added 'Work In Progress' expansion after WIP",n/a - jargon definition,DONE
P3-C,cascade,1.10,lesson-modules/1-fundamentals/1.10-sharepoint-collaboration/MODULE.md,"Added ContextIQ inline explanation (Microsoft's feature that automatically finds relevant files)",n/a - jargon definition,DONE
P3-C,cascade,2.5,lesson-modules/2-advanced-sm-work/2.5-advanced-prompts/MODULE.md,"Added RACI expansion (Responsible Accountable Consulted Informed)",n/a - jargon definition,DONE
P3-D,ISS-345,6.3,lesson-modules/6-ai-native/6.3-building-practice/MODULE.md,"Changed 'Slack channel' → 'Teams channel' for consistency with M365 course context",n/a - internal consistency,DONE
P3-D,ISS-165;ISS-182;ISS-196;ISS-352,n/a,n/a,"Already addressed by P3-A (terminology sweep) and P3-C (jargon defs)",n/a,DONE
